,latitude,longitude,Wind_Speed,Land_Sea_Mask,distance_to_nearest_seaport,distance_to_nearest_transmittor,sosaline,sea_height,wave_height
0,36.0,26.0,7.338949096195028,0.0,160.45532272084503,360.2948578162311,39.29267,-0.5687698,0.17400001
1,36.0,26.25,7.329444756390798,0.0008392718172524,145.5109949757588,338.4891072046025,39.287334,-0.561336,0.18400002
2,36.0,26.5,7.301337905345809,0.0003967466772465,132.66239059924646,316.7634203381858,39.276382,-0.5551075,0.21200001
3,36.0,26.75,7.3149851625006015,0.0034944226572871,122.57045052867537,295.13564039740317,39.269196,-0.5536122,0.231
4,36.0,27.0,7.058692922480544,0.005401858605588,115.95724819991672,273.629146172974,39.26807,-0.55476594,0.24100001
5,36.0,27.25,7.038384504095437,0.0139013931912166,100.97563390216501,252.27512081659634,39.255665,-0.55150354,0.23600002
6,36.0,27.5,6.8311574028938,0.0419025529122731,83.18291524329268,231.11599309959215,39.23777,-0.5384691,0.24100001
7,36.0,27.75,5.785923725449087,0.2631956418903453,68.1749159978796,210.21078744436866,39.23777,-0.5384691,0.238
8,36.0,28.0,4.519571988627324,0.3779775075152976,58.14945496783391,189.64365798568946,39.22542,-0.53714925,0.20300001
9,36.0,28.25,4.944424101243773,0.1570201272641264,55.85718972916963,169.53785086918467,39.21764,-0.572964,0.25
10,36.0,28.5,5.659524129420178,0.0,62.15963726693766,150.0790494280896,39.218,-0.62460124,0.26000002
11,36.0,28.75,5.756923303995154,0.0,52.11892726912792,130.04677280107404,39.230873,-0.64521885,0.277
12,36.0,29.0,5.626543257962764,0.0,43.019058781012845,108.61909630376235,39.210835,-0.61547214,0.32000002
13,36.0,29.25,5.313062511770244,0.0056307509193841,44.6270597720387,87.7009904219179,39.198353,-0.5764384,0.35900003
14,36.0,29.5,5.260098156621884,0.0263989135244838,56.0284461738146,67.76619551901938,39.189255,-0.55217886,0.37100002
15,36.0,29.75,5.0562016360354045,0.0863686997390627,72.75622826181292,50.00509201137738,39.185486,-0.5497377,0.377
16,36.0,30.0,4.845562720545069,0.0233775349823752,71.02359727512525,37.63287793058361,39.184998,-0.5534106,0.354
17,36.0,30.25,4.820380281747536,0.0120549951932614,60.80976927185846,36.59832324835499,39.173317,-0.5488105,0.34600002
18,36.0,30.5,5.222243264752043,0.0006561579662154,57.932479907435635,47.64578707327641,39.166805,-0.55466413,0.395
19,36.0,30.75,5.383085938362095,0.0,63.39862942810324,64.87124645354966,39.17341,-0.57811856,0.432
20,36.0,31.0,5.492020294579811,0.0,75.41528742368946,84.5807140544655,39.18396,-0.60047144,0.423
21,36.0,31.25,5.460257928225503,0.0,91.43521865181108,86.56394327944577,39.177227,-0.6117645,0.39200002
22,36.0,31.5,5.347992991392629,0.0,109.718591444641,74.33288496683218,39.182686,-0.61365145,0.39900002
23,36.0,31.75,5.028663420705199,0.0,121.76859827550494,64.83419686861329,39.173183,-0.5977995,0.418
24,36.0,32.0,4.820136580726915,0.0,111.13624091093018,62.3371995268925,39.136906,-0.5658267,0.40800002
25,36.0,32.25,4.557914282538407,0.0478842720461447,104.39447494033803,67.62203774037346,39.137676,-0.49419048,0.409
26,36.0,32.5,3.5759616367816887,0.3622602353012986,102.30333356552224,79.14486170891043,39.141342,-0.5025002,0.395
27,36.0,32.75,3.4878231009903224,0.4176674347275418,104.96925405994374,84.43606032339952,39.136517,-0.49666947,0.437
28,36.0,33.0,3.5994381684348733,0.3281705400332657,112.22475193713831,76.081491401898,39.12082,-0.48160997,0.509
29,36.0,33.25,5.267165486219901,0.2012268628019471,107.14797854520513,73.94169912697512,39.125988,-0.4892138,0.39400002
30,36.0,33.5,5.498112820095344,0.186486197793478,93.91401083411232,67.89924875032045,39.1164,-0.48730013,0.303
31,36.0,33.75,5.978366298066366,0.0654326827705125,76.3114109611655,67.52086592050306,39.11776,-0.49032864,0.272
32,36.0,34.0,5.831577049978809,0.0003967466772465,61.90732762501012,71.36380096906397,39.116726,-0.50270593,0.256
33,36.0,34.25,5.695835581492751,0.0001678543634504,53.35833568960634,72.99065382058814,39.11565,-0.5206267,0.273
34,36.0,34.5,5.560581515047934,0.0,53.546450113018565,81.13079223690147,39.111107,-0.52350247,0.37
35,36.0,34.75,5.426058551664982,0.0001068164131048,62.392692491320254,91.45519284302223,39.080223,-0.50349116,0.39600003
36,36.0,35.0,5.384304443465201,0.0,76.96741151096147,88.0981927268934,39.070618,-0.48201725,0.349
37,35.75,26.0,7.233913956307252,0.0,181.28864002434662,367.91439419924,39.288605,-0.5808887,0.19800001
38,35.75,26.25,7.19004777259542,0.0003814871896601,168.1621965174345,346.51837749819686,39.28325,-0.57334936,0.23500001
39,35.75,26.5,7.268357033888394,0.0004425251400058,157.14001263221104,325.259680262006,39.27277,-0.5730647,0.25
40,35.75,26.75,7.304018616572643,0.0037538339462561,148.6908629550955,304.1672525758088,39.269104,-0.5809971,0.24800001
41,35.75,27.0,7.309380039026312,0.0623960447408176,135.56496498458057,283.2783933567958,39.268066,-0.5849976,0.25100002
42,35.75,27.25,7.205400936894561,0.0576045656386858,118.66969118042581,262.6418342573774,39.243443,-0.55699193,0.083000004
43,35.75,27.5,7.070390571470367,0.0573756733248897,103.90094153575905,242.32219750416166,39.23176,-0.5469365,0.21300001
44,35.75,27.75,6.91239107643423,0.0292982161659011,92.28548979476088,222.4065181876635,39.230164,-0.5427999,0.24700001
45,35.75,28.0,6.029381045049756,0.0029450811041765,85.12419520494007,202.86343860960113,39.22527,-0.5613781,0.284
