time	latitude	longitude	si10
1079616	36.0	26.0	7.338949096195028
1079616	36.0	26.25	7.329444756390798
1079616	36.0	26.5	7.301337905345809
1079616	36.0	26.75	7.3149851625006015
1079616	36.0	27.0	7.058692922480544
1079616	36.0	27.25	7.038384504095437
1079616	36.0	27.5	6.8311574028938
1079616	36.0	27.75	5.785923725449087
1079616	36.0	28.0	4.519571988627324
1079616	36.0	28.25	4.944424101243773
1079616	36.0	28.5	5.659524129420178
1079616	36.0	28.75	5.756923303995154
1079616	36.0	29.0	5.626543257962764
1079616	36.0	29.25	5.313062511770244
1079616	36.0	29.5	5.260098156621884
1079616	36.0	29.75	5.0562016360354045
1079616	36.0	30.0	4.845562720545069
1079616	36.0	30.25	4.820380281747536
1079616	36.0	30.5	5.222243264752043
1079616	36.0	30.75	5.383085938362095
1079616	36.0	31.0	5.492020294579811
1079616	36.0	31.25	5.460257928225503
1079616	36.0	31.5	5.347992991392629
1079616	36.0	31.75	5.028663420705199
1079616	36.0	32.0	4.820136580726915
1079616	36.0	32.25	4.557914282538407
1079616	36.0	32.5	3.5759616367816887
1079616	36.0	32.75	3.4878231009903224
1079616	36.0	33.0	3.5994381684348733
1079616	36.0	33.25	5.267165486219901
1079616	36.0	33.5	5.4981128200953435
1079616	36.0	33.75	5.978366298066366
1079616	36.0	34.0	5.831577049978809
1079616	36.0	34.25	5.695835581492751
1079616	36.0	34.5	5.560581515047934
1079616	36.0	34.75	5.426058551664982
1079616	36.0	35.0	5.384304443465201
1079616	35.75	26.0	7.233913956307252
1079616	35.75	26.25	7.19004777259542
1079616	35.75	26.5	7.268357033888394
1079616	35.75	26.75	7.304018616572643
1079616	35.75	27.0	7.309380039026312
1079616	35.75	27.25	7.205400936894561
1079616	35.75	27.5	7.070390571470367
1079616	35.75	27.75	6.91239107643423
1079616	35.75	28.0	6.029381045049756
1079616	35.75	28.25	6.09623635837353
1079616	35.75	28.5	5.89217737043997
1079616	35.75	28.75	5.906799431677247
1079616	35.75	29.0	5.905824627594762
1079616	35.75	29.25	5.899000999017366
1079616	35.75	29.5	5.861633509188768
1079616	35.75	29.75	5.767889849923112
1079616	35.75	30.0	5.588688366092923
1079616	35.75	30.25	5.550589773202462
1079616	35.75	30.5	5.565211834439739
1079616	35.75	30.75	5.666835160038817
1079616	35.75	31.0	5.691692664142188
1079616	35.75	31.25	5.664641850853226
1079616	35.75	31.5	5.5723603977112965
1079616	35.75	31.75	5.563993329336633
1079616	35.75	32.0	5.54084173237761
1079616	35.75	32.25	5.700465900884555
1079616	35.75	32.5	5.852616571425781
1079616	35.75	32.75	5.913379359234022
1079616	35.75	33.0	5.908261637800975
1079616	35.75	33.25	6.238314053395742
1079616	35.75	33.5	6.356509048397068
1079616	35.75	33.75	6.244731513605436
1079616	35.75	34.0	5.996643874612962
1079616	35.75	34.25	5.736371184589425
1079616	35.75	34.5	5.647257844715573
1079616	35.75	34.75	5.517121499703804
1079616	35.75	35.0	5.479835243548747
1079616	35.5	26.0	6.871124370275692
1079616	35.5	26.25	7.198333607296544
1079616	35.5	26.5	7.254709776733602
1079616	35.5	26.75	7.309867441067555
1079616	35.5	27.0	7.483220100402832
