time	latitude	longitude	swh
1079616	35.0	26.75	1.40979917146219
1079616	35.0	27.0	1.3842892404416307
1079616	35.0	27.25	1.3570676930079903
1079616	35.0	27.5	1.323862334594219
1079616	35.0	27.75	1.290903448943931
1079616	35.0	28.0	1.2534258959631095
1079616	35.0	28.25	1.2166877612727387
1079616	35.0	28.5	1.187152108448613
1079616	35.0	28.75	1.1585749608158125
1079616	35.0	29.0	1.1328185570317695
1079616	35.0	29.25	1.0996268915493026
1079616	35.0	29.5	1.063244773072853
1079616	35.0	29.75	1.028574271009484
1079616	35.0	30.0	0.991343190792146
1079616	35.0	30.25	0.9486212451216441
1079616	35.0	30.5	0.9044341558015448
1079616	35.0	30.75	NaN
1079616	35.0	31.0	NaN
1079616	35.0	31.25	NaN
1079616	35.0	31.5	NaN
1079616	35.0	31.75	NaN
1079616	35.0	32.0	NaN
1079616	35.0	32.25	NaN
1079616	35.0	32.5	NaN
1079616	35.0	32.75	NaN
1079616	35.0	33.0	NaN
1079616	35.0	33.25	NaN
1079616	35.0	33.5	NaN
1079616	35.0	33.75	NaN
1079616	35.0	34.0	NaN
1079616	35.0	34.25	NaN
1079616	35.0	34.5	NaN
1079616	35.0	34.75	NaN
1079616	35.0	35.0	NaN
1079616	34.75	26.0	1.3447440548338072
1079616	34.75	26.25	1.3778261768658369
1079616	34.75	26.5	1.4050477242994772
1079616	34.75	26.75	1.4141946024109822
1079616	34.75	27.0	1.4048012515359936
1079616	34.75	27.25	1.3855079113277444
1079616	34.75	27.5	1.3571909293897324
1079616	34.75	27.75	1.3285042383064947
1079616	34.75	28.0	1.294449918151835
1079616	34.75	28.25	1.2622167578606935
1079616	34.75	28.5	1.2336533031591976
1079616	34.75	28.75	1.2064317557255575
1079616	34.75	29.0	1.1806753519415145
1079616	34.75	29.25	1.1480861754364522
1079616	34.75	29.5	1.1140318552817925
1079616	34.75	29.75	1.0799638421958282
1079616	34.75	30.0	1.0361464620209544
1079616	34.75	30.25	0.9823058561310782
1079616	34.75	30.5	0.8982038720579301
1079616	34.75	30.75	NaN
1079616	34.75	31.0	NaN
1079616	34.75	31.25	NaN
1079616	34.75	31.5	NaN
1079616	34.75	31.75	NaN
1079616	34.75	32.0	NaN
1079616	34.75	32.25	NaN
1079616	34.75	32.5	NaN
1079616	34.75	32.75	NaN
1079616	34.75	33.0	NaN
1079616	34.75	33.25	NaN
1079616	34.75	33.5	NaN
1079616	34.75	33.75	NaN
1079616	34.75	34.0	NaN
1079616	34.75	34.25	NaN
1079616	34.75	34.5	NaN
1079616	34.75	34.75	NaN
1079616	34.75	35.0	NaN
1079616	34.5	26.0	1.3288739474517202
1079616	34.5	26.25	1.350358156668713
1079616	34.5	26.5	1.375251905780563
1079616	34.5	26.75	1.393929064080103
1079616	34.5	27.0	1.396380098783635
1079616	34.5	27.25	1.3846589495868562
1079616	34.5	27.5	1.3669539894099463
1079616	34.5	27.75	1.3447440548338072
1079616	34.5	28.0	1.318494705522797
1079616	34.5	28.25	1.2906569761804474
1079616	34.5	28.5	1.261614268883289
1079616	34.5	28.75	1.2348719740453113
1079616	34.5	29.0	1.2047201393124765
1079616	34.5	29.25	1.1685981865308148
1079616	34.5	29.5	1.1318463589091394
1079616	34.5	29.75	1.0955874768144316
1079616	34.5	30.0	1.0529887675256715
1079616	34.5	30.25	0.994027005327857
1079616	34.5	30.5	0.8654914591711259
1079616	34.5	30.75	NaN
1079616	34.5	31.0	NaN
1079616	34.5	31.25	NaN
1079616	34.5	31.5	NaN
1079616	34.5	31.75	NaN
1079616	34.5	32.0	NaN
1079616	34.5	32.25	NaN
1079616	34.5	32.5	NaN
1079616	34.5	32.75	NaN
1079616	34.5	33.0	NaN
1079616	34.5	33.25	NaN
1079616	34.5	33.5	NaN
1079616	34.5	33.75	NaN
1079616	34.5	34.0	NaN
1079616	34.5	34.25	NaN
1079616	34.5	34.5	NaN
1079616	34.5	34.75	NaN
1079616	34.5	35.0	NaN
1079616	34.25	26.0	1.2834544943142026
1079616	34.25	26.25	1.30359679626334
1079616	34.25	26.5	1.3278880563977855
1079616	34.25	26.75	1.3520697730817939
1079616	34.25	27.0	1.3652423729968652
1079616	34.25	27.25	1.363544449515089
1079616	34.25	27.5	1.3548768239992468
1079616	34.25	27.75	1.3399789147397896
1079616	34.25	28.0	1.318371469141055
1079616	34.25	28.25	1.2949291707474977
1079616	34.25	28.5	1.2683238052225665
1079616	34.25	28.75	1.2391441686123614
1079616	34.25	29.0	1.2085130812838638
1079616	34.25	29.25	1.171514780898705
1079616	34.25	29.5	1.1325857771995906
1079616	34.25	29.75	1.091205738796944
1079616	34.25	30.0	1.046279231186394
1079616	34.25	30.25	0.9786498434727373
1079616	34.25	30.5	NaN
1079616	34.25	30.75	NaN
1079616	34.25	31.0	NaN
1079616	34.25	31.25	NaN
1079616	34.25	31.5	NaN
1079616	34.25	31.75	NaN
1079616	34.25	32.0	NaN
1079616	34.25	32.25	NaN
1079616	34.25	32.5	NaN
1079616	34.25	32.75	NaN
1079616	34.25	33.0	NaN
1079616	34.25	33.25	NaN
1079616	34.25	33.5	NaN
1079616	34.25	33.75	NaN
1079616	34.25	34.0	NaN
1079616	34.25	34.25	NaN
1079616	34.25	34.5	NaN
1079616	34.25	34.75	NaN
1079616	34.25	35.0	NaN
1079616	34.0	26.0	1.174814777343125
1079616	34.0	26.25	1.2193715758084498
1079616	34.0	26.5	1.2533026595813677
1079616	34.0	26.75	1.2874939090490738
1079616	34.0	27.0	1.3099503163886965
1079616	34.0	27.25	1.3200830855541361
1079616	34.0	27.5	1.3198366127906525
1079616	34.0	27.75	1.3055548854399046
1079616	34.0	28.0	1.2801681908010871
1079616	34.0	28.25	1.2462234140968647
1079616	34.0	28.5	1.2096085157882357
1079616	34.0	28.75	1.1931222264974395
1079616	34.0	29.0	1.1683517137673312
1079616	34.0	29.25	1.1414861825476117
1079616	34.0	29.5	1.1043783387120156
1079616	34.0	29.75	1.0628750639276274
1079616	34.0	30.0	1.0140460708952523
1079616	34.0	30.25	0.9268905631411677
1079616	34.0	30.5	0.7896873914685943
1079616	34.0	30.75	NaN
1079616	34.0	31.0	NaN
1079616	34.0	31.25	NaN
1079616	34.0	31.5	NaN
1079616	34.0	31.75	NaN
1079616	34.0	32.0	NaN
1079616	34.0	32.25	NaN
1079616	34.0	32.5	NaN
1079616	34.0	32.75	NaN
1079616	34.0	33.0	NaN
1079616	34.0	33.25	NaN
1079616	34.0	33.5	NaN
1079616	34.0	33.75	NaN
1079616	34.0	34.0	NaN
1079616	34.0	34.25	NaN
1079616	34.0	34.5	NaN
1079616	34.0	34.75	NaN
1079616	34.0	35.0	NaN
1079616	33.75	26.0	NaN
1079616	33.75	26.25	NaN
1079616	33.75	26.5	NaN
1079616	33.75	26.75	1.1016945241763045
1079616	33.75	27.0	1.1860429810129365
1079616	33.75	27.25	1.2293811085921476
1079616	33.75	27.5	1.241225494170668
1079616	33.75	27.75	1.224506425047693
1079616	33.75	28.0	1.175786975465755
1079616	33.75	28.25	1.1645587717959436
1079616	33.75	28.5	1.0656821148450801
1079616	33.75	28.75	NaN
1079616	33.75	29.0	0.7594123203540175
1079616	33.75	29.25	0.9068714975737723
1079616	33.75	29.5	0.931039521326476
1079616	33.75	29.75	0.9172507395026954
1079616	33.75	30.0	0.8706126154790642
1079616	33.75	30.25	NaN
1079616	33.75	30.5	NaN
1079616	33.75	30.75	NaN
1079616	33.75	31.0	NaN
1079616	33.75	31.25	NaN
1079616	33.75	31.5	NaN
1079616	33.75	31.75	NaN
1079616	33.75	32.0	NaN
1079616	33.75	32.25	NaN
1079616	33.75	32.5	NaN
1079616	33.75	32.75	NaN
1079616	33.75	33.0	NaN
1079616	33.75	33.25	NaN
1079616	33.75	33.5	NaN
1079616	33.75	33.75	NaN
1079616	33.75	34.0	NaN
1079616	33.75	34.25	NaN
1079616	33.75	34.5	NaN
1079616	33.75	34.75	NaN
1079616	33.75	35.0	NaN
1079616	33.5	26.0	NaN
1079616	33.5	26.25	NaN
1079616	33.5	26.5	NaN
1079616	33.5	26.75	NaN
1079616	33.5	27.0	NaN
1079616	33.5	27.25	NaN
1079616	33.5	27.5	0.9366536231613817
1079616	33.5	27.75	0.9871942326068376
1079616	33.5	28.0	NaN
1079616	33.5	28.25	NaN
1079616	33.5	28.5	NaN
1079616	33.5	28.75	NaN
1079616	33.5	29.0	NaN
1079616	33.5	29.25	NaN
1079616	33.5	29.5	NaN
1079616	33.5	29.75	NaN
1079616	33.5	30.0	NaN
1079616	33.5	30.25	NaN
1079616	33.5	30.5	NaN
1079616	33.5	30.75	NaN
1079616	33.5	31.0	NaN
1079616	33.5	31.25	NaN
1079616	33.5	31.5	NaN
1079616	33.5	31.75	NaN
1079616	33.5	32.0	NaN
1079616	33.5	32.25	NaN
1079616	33.5	32.5	NaN
1079616	33.5	32.75	NaN
1079616	33.5	33.0	NaN
1079616	33.5	33.25	NaN
1079616	33.5	33.5	NaN
1079616	33.5	33.75	NaN
1079616	33.5	34.0	NaN
1079616	33.5	34.25	NaN
1079616	33.5	34.5	NaN
1079616	33.5	34.75	NaN
1079616	33.5	35.0	NaN
1079616	33.25	26.0	NaN
1079616	33.25	26.25	NaN
1079616	33.25	26.5	NaN
1079616	33.25	26.75	NaN
1079616	33.25	27.0	NaN
1079616	33.25	27.25	NaN
1079616	33.25	27.5	NaN
1079616	33.25	27.75	NaN
1079616	33.25	28.0	NaN
1079616	33.25	28.25	NaN
1079616	33.25	28.5	NaN
1079616	33.25	28.75	NaN
1079616	33.25	29.0	NaN
1079616	33.25	29.25	NaN
1079616	33.25	29.5	NaN
1079616	33.25	29.75	NaN
1079616	33.25	30.0	NaN
1079616	33.25	30.25	NaN
1079616	33.25	30.5	NaN
