time	latitude	longitude	lsm
1079616	35.0	26.25	0.13109425785482126
1079616	35.0	26.5	0.03532571376253185
1079616	35.0	26.75	0.0010986831062212987
1079616	35.0	27.0	0.001113942593807704
1079616	35.0	27.25	0.0010986831062212987
1079616	35.0	27.5	0.0
1079616	35.0	27.75	0.0
1079616	35.0	28.0	0.0
1079616	35.0	28.25	0.0
1079616	35.0	28.5	0.0
1079616	35.0	28.75	0.0
1079616	35.0	29.0	0.0
1079616	35.0	29.25	0.0
1079616	35.0	29.5	0.0
1079616	35.0	29.75	0.0
1079616	35.0	30.0	0.0
1079616	35.0	30.25	0.0
1079616	35.0	30.5	0.0
1079616	35.0	30.75	0.0
1079616	35.0	31.0	0.0
1079616	35.0	31.25	0.0
1079616	35.0	31.5	0.0
1079616	35.0	31.75	0.0
1079616	35.0	32.0	0.0
1079616	35.0	32.25	0.33782979567546123
1079616	35.0	32.5	0.7182030427418247
1079616	35.0	32.75	0.9873193658156959
1079616	35.0	33.0	0.9878992263439794
1079616	35.0	33.25	0.9879755237819114
1079616	35.0	33.5	0.8659301420658294
1079616	35.0	33.75	0.6256389910426807
1079616	35.0	34.0	0.3261868066470328
1079616	35.0	34.25	0.08116521447209801
1079616	35.0	34.5	0.0
1079616	35.0	34.75	0.0
1079616	35.0	35.0	0.0
1079616	34.75	26.0	0.04864724642546503
1079616	34.75	26.25	0.04854043001236019
1079616	34.75	26.5	0.0
1079616	34.75	26.75	0.0
1079616	34.75	27.0	0.0
1079616	34.75	27.25	0.0
1079616	34.75	27.5	0.0
1079616	34.75	27.75	0.0
1079616	34.75	28.0	0.0
1079616	34.75	28.25	0.0
1079616	34.75	28.5	0.0
1079616	34.75	28.75	0.0
1079616	34.75	29.0	0.0
1079616	34.75	29.25	0.0
1079616	34.75	29.5	0.0
1079616	34.75	29.75	0.0
1079616	34.75	30.0	0.0
1079616	34.75	30.25	0.0
1079616	34.75	30.5	0.0
1079616	34.75	30.75	0.0
1079616	34.75	31.0	0.0
1079616	34.75	31.25	0.0
1079616	34.75	31.5	0.0
1079616	34.75	31.75	0.0
1079616	34.75	32.0	0.0
1079616	34.75	32.25	0.07010208597195305
1079616	34.75	32.5	0.4217264584255261
1079616	34.75	32.75	0.7071246547540934
1079616	34.75	33.0	0.735614118077915
1079616	34.75	33.25	0.5339752491111348
1079616	34.75	33.5	0.2808966474905773
1079616	34.75	33.75	0.05937466619870907
1079616	34.75	34.0	0.04939496131719895
1079616	34.75	34.25	0.04928814490409411
1079616	34.75	34.5	0.0
1079616	34.75	34.75	0.0
1079616	34.75	35.0	0.0
1079616	34.5	26.0	0.0
1079616	34.5	26.25	0.0
1079616	34.5	26.5	0.0
1079616	34.5	26.75	0.0
1079616	34.5	27.0	0.0
1079616	34.5	27.25	0.0
1079616	34.5	27.5	0.0
1079616	34.5	27.75	0.0
1079616	34.5	28.0	0.0
1079616	34.5	28.25	0.0
1079616	34.5	28.5	0.0
1079616	34.5	28.75	0.0
1079616	34.5	29.0	0.0
1079616	34.5	29.25	0.0
1079616	34.5	29.5	0.0
1079616	34.5	29.75	0.0
1079616	34.5	30.0	0.0
1079616	34.5	30.25	0.0
1079616	34.5	30.5	0.0
1079616	34.5	30.75	0.0
1079616	34.5	31.0	0.0
1079616	34.5	31.25	0.0
1079616	34.5	31.5	0.0
1079616	34.5	31.75	0.0
1079616	34.5	32.0	0.0
1079616	34.5	32.25	0.024521996551355785
1079616	34.5	32.5	0.024521996551355785
1079616	34.5	32.75	0.17992461813132316
1079616	34.5	33.0	0.1811453771382357
1079616	34.5	33.25	0.17655227137472723
1079616	34.5	33.5	0.003524941632459977
1079616	34.5	33.75	0.003524941632459977
1079616	34.5	34.0	0.0
1079616	34.5	34.25	0.0
1079616	34.5	34.5	0.0
1079616	34.5	34.75	0.0
1079616	34.5	35.0	0.0
1079616	34.25	26.0	0.0
1079616	34.25	26.25	0.0
1079616	34.25	26.5	0.0
1079616	34.25	26.75	0.0
1079616	34.25	27.0	0.0
1079616	34.25	27.25	0.0
1079616	34.25	27.5	0.0
1079616	34.25	27.75	0.0
1079616	34.25	28.0	0.0
1079616	34.25	28.25	0.0
1079616	34.25	28.5	0.0
1079616	34.25	28.75	0.0
1079616	34.25	29.0	0.0
1079616	34.25	29.25	0.0
1079616	34.25	29.5	0.0
1079616	34.25	29.75	0.0
1079616	34.25	30.0	0.0
1079616	34.25	30.25	0.0
1079616	34.25	30.5	0.0
1079616	34.25	30.75	0.0
1079616	34.25	31.0	0.0
1079616	34.25	31.25	0.0
1079616	34.25	31.5	0.0
1079616	34.25	31.75	0.0
1079616	34.25	32.0	0.0
1079616	34.25	32.25	0.0
1079616	34.25	32.5	0.0
1079616	34.25	32.75	0.0
1079616	34.25	33.0	2.2889231379608077E-4
1079616	34.25	33.25	9.155692551843231E-5
1079616	34.25	33.5	0.0
1079616	34.25	33.75	0.0
1079616	34.25	34.0	0.0
1079616	34.25	34.25	0.0
1079616	34.25	34.5	0.0
1079616	34.25	34.75	0.0
1079616	34.25	35.0	0.0
