,latitude,longitude,Wind_Speed,Land_Sea_Mask
1,36.0,26.0,7.338949096195028,0.0
2,36.0,26.25,7.329444756390798,0.0008392718172524072
3,36.0,26.5,7.301337905345809,0.0003967466772465955
4,36.0,26.75,7.3149851625006015,0.0034944226572871
5,36.0,27.0,7.058692922480544,0.005401858605588
6,36.0,27.25,7.038384504095437,0.0139013931912166
7,36.0,27.5,6.8311574028938,0.0419025529122731
8,36.0,27.75,5.785923725449087,0.2631956418903453
9,36.0,28.0,4.519571988627324,0.3779775075152976
10,36.0,28.25,4.944424101243773,0.1570201272641264
11,36.0,28.5,5.659524129420178,0.0
12,36.0,28.75,5.756923303995154,0.0
13,36.0,29.0,5.626543257962764,0.0
14,36.0,29.25,5.313062511770244,0.0056307509193841
15,36.0,29.5,5.260098156621884,0.0263989135244838
16,36.0,29.75,5.0562016360354045,0.0863686997390627
17,36.0,30.0,4.845562720545069,0.0233775349823752
18,36.0,30.25,4.820380281747536,0.0120549951932614
19,36.0,30.5,5.222243264752043,0.000656157966215487
20,36.0,30.75,5.383085938362095,0.0
21,36.0,31.0,5.492020294579811,0.0
22,36.0,31.25,5.460257928225503,0.0
23,36.0,31.5,5.347992991392629,0.0
24,36.0,31.75,5.028663420705199,0.0
25,36.0,32.0,4.820136580726915,0.0
26,36.0,32.25,4.557914282538407,0.0478842720461447
27,36.0,32.5,3.5759616367816887,0.3622602353012986
28,36.0,32.75,3.4878231009903224,0.4176674347275418
29,36.0,33.0,3.5994381684348733,0.3281705400332657
30,36.0,33.25,5.267165486219901,0.2012268628019471
31,36.0,33.5,5.498112820095344,0.186486197793478
32,36.0,33.75,5.978366298066366,0.0654326827705125
33,36.0,34.0,5.831577049978809,0.0003967466772465955
34,36.0,34.25,5.695835581492751,0.00016785436345045923
35,36.0,34.5,5.560581515047934,0.0
36,36.0,34.75,5.426058551664982,0.00010681641310483768
37,36.0,35.0,5.384304443465201,0.0
38,35.75,26.0,7.233913956307252,0.0
39,35.75,26.25,7.19004777259542,0.0003814871896601901
40,35.75,26.5,7.268357033888394,0.00044252514000581167
41,35.75,26.75,7.304018616572643,0.0037538339462561
42,35.75,27.0,7.309380039026312,0.0623960447408176
43,35.75,27.25,7.205400936894561,0.0576045656386858
44,35.75,27.5,7.070390571470367,0.0573756733248897
45,35.75,27.75,6.91239107643423,0.0292982161659011
46,35.75,28.0,6.029381045049756,0.0029450811041765
47,35.75,28.25,6.09623635837353,0.0
48,35.75,28.5,5.89217737043997,0.0
49,35.75,28.75,5.906799431677247,0.0
50,35.75,29.0,5.905824627594762,0.0
51,35.75,29.25,5.899000999017366,0.0
52,35.75,29.5,5.861633509188768,0.0
53,35.75,29.75,5.767889849923112,0.0
54,35.75,30.0,5.588688366092923,0.0
55,35.75,30.25,5.550589773202462,0.0
56,35.75,30.5,5.565211834439739,0.0
57,35.75,30.75,5.666835160038817,0.0
58,35.75,31.0,5.691692664142188,0.0
59,35.75,31.25,5.664641850853226,0.0
60,35.75,31.5,5.5723603977112965,0.0
61,35.75,31.75,5.563993329336633,0.0
62,35.75,32.0,5.54084173237761,0.0
63,35.75,32.25,5.700465900884555,0.0
64,35.75,32.5,5.852616571425781,0.0
65,35.75,32.75,5.913379359234022,0.0
66,35.75,33.0,5.908261637800975,0.00024415180138248616
67,35.75,33.25,6.238314053395742,0.0
68,35.75,33.5,6.356509048397068,0.0
69,35.75,33.75,6.244731513605436,0.0457021653212885
70,35.75,34.0,5.996643874612962,0.0527978270489676
71,35.75,34.25,5.736371184589425,0.0589931790090488
72,35.75,34.5,5.647257844715573,0.0038148718966017
73,35.75,34.75,5.517121499703804,0.0039827262600521
74,35.75,35.0,5.479835243548747,0.0
75,35.5,26.0,6.871124370275692,0.0412616544336441
76,35.5,26.25,7.198333607296544,0.027268704316909
77,35.5,26.5,7.254709776733602,0.0272839638044954
78,35.5,26.75,7.309867441067555,0.0175484107243678
79,35.5,27.0,7.483220100402832,0.1544870523247829
80,35.5,27.25,7.27883617777511,0.0747257107106343
81,35.5,27.5,7.178268889932058,0.0381181999908443
82,35.5,27.75,7.057230716356817,0.0
83,35.5,28.0,6.799638737560113,0.0
84,35.5,28.25,6.500048949543007,0.0
85,35.5,28.5,6.210532137044915,0.0
86,35.5,28.75,6.041078694039578,0.0
87,35.5,29.0,6.091118636940482,0.0
88,35.5,29.25,6.055457054256234,0.0
89,35.5,29.5,6.002980101149117,0.0
90,35.5,29.75,5.910211245965945,0.0
91,35.5,30.0,5.7483937682734085,0.0
92,35.5,30.25,5.612164897746108,0.0
93,35.5,30.5,5.593318685484728,0.0
94,35.5,30.75,5.630929876333947,0.0
95,35.5,31.0,5.715656597836615,0.0
96,35.5,31.25,5.721505422331527,0.0
97,35.5,31.5,5.761066221345716,0.0
98,35.5,31.75,5.8081817519991645,0.0
99,35.5,32.0,5.758629211139503,0.0
100,35.5,32.25,5.831333348958188,4.577846275921616e-05
101,35.5,32.5,6.051801538946915,4.577846275921616e-05
102,35.5,32.75,5.687062344750384,0.1274014618589107
103,35.5,33.0,5.481297449672475,0.1278287275113301
104,35.5,33.25,5.343118970980203,0.1274014618589107
105,35.5,33.5,5.124844090177068,0.1690751224573878
106,35.5,33.75,4.957583956357323,0.2159980467855889
107,35.5,34.0,5.43320711493654,0.2143195031510841
108,35.5,34.25,5.571385593628811,0.2362321273251644
109,35.5,34.5,5.504449046631497,0.1133322143042436
110,35.5,34.75,5.479835243548747,0.0095219202539179
111,35.5,35.0,5.433938217998404,0.0
112,35.25,26.0,6.032305457297212,0.2364610196389605
