,latitude,longitude,Wind_Speed,Wave_Height,Land_Sea_Mask
1,36.0,26.0,7.338949096195028,1.2913963944708984,0.0
2,36.0,26.25,7.329444756390798,1.283098478100282,0.0008392718172524072
3,36.0,26.5,7.301337905345809,1.2376790249627645,0.0003967466772465955
4,36.0,26.75,7.3149851625006015,1.1035293769711274,0.0034944226572871
5,36.0,27.0,7.058692922480544,0.6978899800022338,0.005401858605588
6,36.0,27.25,7.038384504095437,0.8078716042411669,0.0139013931912166
7,36.0,27.5,6.8311574028938,0.8324093371390962,0.0419025529122731
8,36.0,27.75,5.785923725449087,0.8061599878280858,0.2631956418903453
9,36.0,28.0,4.519571988627324,0.7924944423860472,0.3779775075152976
10,36.0,28.25,4.944424101243773,0.8574400155639929,0.1570201272641264
11,36.0,28.5,5.659524129420178,0.9122391266451942,0.0
12,36.0,28.75,5.756923303995154,0.8982038720579301,0.0
13,36.0,29.0,5.626543257962764,0.834244189933919,0.0
14,36.0,29.25,5.313062511770244,0.7291372492394407,0.0056307509193841
15,36.0,29.5,5.260098156621884,0.6477190797020034,0.0263989135244838
16,36.0,29.75,5.0562016360354045,0.738421056663992,0.0863686997390627
17,36.0,30.0,4.845562720545069,0.7937131132721609,0.0233775349823752
18,36.0,30.25,4.820380281747536,0.8055574988506814,0.0120549951932614
19,36.0,30.5,5.222243264752043,0.8134857060760726,0.000656157966215487
20,35.75,26.0,7.233913956307252,1.1164691970540197,0.0
21,35.75,26.25,7.19004777259542,1.2407325486437006,0.0003814871896601901
22,35.75,26.5,7.268357033888394,1.2304765430965192,0.00044252514000581167
23,35.75,26.75,7.304018616572643,1.0965733678683662,0.0037538339462561
24,35.75,27.0,7.309380039026312,1.0793613532184236,0.0623960447408176
25,35.75,27.25,7.205400936894561,1.0394464584653746,0.0576045656386858
26,35.75,27.5,7.070390571470367,1.0239323672972085,0.0573756733248897
27,35.75,27.75,6.91239107643423,1.0145390164222197,0.0292982161659011
28,35.75,28.0,6.029381045049756,1.0023249216984738,0.0029450811041765
29,35.75,28.25,6.09623635837353,1.0026946308436993,0.0
30,35.75,28.5,5.89217737043997,1.0175925401031565,0.0
31,35.75,28.75,5.906799431677247,1.0078294800829422,0.0
32,35.75,29.0,5.905824627594762,0.970954416079525,0.0
33,35.75,29.25,5.899000999017366,0.8956432939039608,0.0
34,35.75,29.75,5.767889849923112,0.8824570010575847,0.0
35,35.75,30.0,5.588688366092923,0.6735987198677882,0.0
36,35.75,30.25,5.550589773202462,0.6997248327970567,0.0
37,35.75,30.5,5.565211834439739,0.7639309876845514,0.0
38,35.5,26.0,6.871124370275692,0.9430071432867384,0.0412616544336441
39,35.5,26.25,7.198333607296544,1.1771425756649152,0.027268704316909
40,35.5,26.5,7.254709776733602,1.2655167543051138,0.0272839638044954
41,35.5,26.75,7.309867441067555,1.2424441650567817,0.0175484107243678
42,35.5,27.0,7.483220100402832,1.2159483429822877,0.1544870523247829
43,35.5,27.25,7.27883617777511,1.1744450681978995,0.0747257107106343
44,35.5,27.5,7.178268889932058,1.1463745590233712,0.0381181999908443
45,35.5,27.75,7.057230716356817,1.124274167897669,0.0
46,35.5,28.0,6.799638737560113,1.1004758532901908,0.0
47,35.5,28.25,6.500048949543007,1.0787451713097145,0.0
48,35.5,28.5,6.210532137044915,1.063121536691111,0.0
49,35.5,28.75,6.041078694039578,1.0422535093828271,0.0
50,35.5,29.0,6.091118636940482,0.9928083344417432,0.0
51,35.5,30.0,5.7483937682734085,0.5228395462036133,0.0
52,35.5,30.25,5.612164897746108,0.6978899800022338,0.0
53,35.5,30.5,5.593318685484728,0.7826081459840912,0.0
54,35.25,26.0,6.032305457297212,1.251960752313512,0.2364610196389605
55,35.25,26.25,7.017913618363249,1.3623120856976707,0.1777119924312941
56,35.25,26.5,7.26372671449659,1.3916149586896176,0.075992248180306
57,35.25,26.75,7.298169792077733,1.3693913311821737,0.0066531365876734
58,35.25,27.0,7.416121086058437,1.330092618337834,0.0247508888651519
59,35.25,27.25,7.332369168638253,1.2880963980264784,0.0066531365876734
60,35.25,27.5,7.190535174636663,1.252083988695254,0.0
61,35.25,27.75,7.022543937755053,1.2194948121901916,0.0
62,35.25,28.0,6.7915966038796105,1.186412690158162,0.0
63,35.25,28.25,6.613613625152529,1.153577040889616,0.0
64,35.25,28.5,6.463168861755652,1.123425206156781,0.0
65,35.25,28.75,6.333113750417423,1.0941223331648342,0.0
66,35.25,29.0,6.212238044189264,1.0604377221554,0.0
67,35.25,29.25,6.134334951263991,0.971817070751718,0.0
68,35.25,29.5,6.09063123489924,0.8143483607482654,0.0
69,35.25,29.75,6.020120406266146,0.7917550240955962,0.0
70,35.25,30.0,5.8672386326630575,0.8416931445636475,0.0
71,35.25,30.25,5.723942432537739,0.8606030826953666,0.0
72,35.25,30.5,5.680969819234852,0.8651217500259003,0.0
73,35.0,26.0,7.061129932686757,1.3371718638223369,0.3160239879144858
74,35.0,26.25,7.351377848246714,1.4004058205872014,0.1310942578548212
75,35.0,26.5,7.394594162570223,1.4201784133911133,0.0353257137625318
76,35.0,26.75,7.350159343143607,1.40979917146219,0.0010986831062212
77,35.0,27.0,7.299144596160217,1.3842892404416307,0.0011139425938077
78,35.0,27.25,7.220022998131839,1.3570676930079903,0.0010986831062212
79,35.0,27.5,7.153898787869929,1.323862334594219,0.0
80,35.0,27.75,7.085012632707644,1.290903448943931,0.0
81,35.0,28.0,6.970798087709799,1.2534258959631095,0.0
82,35.0,28.25,6.816941510024225,1.2166877612727387,0.0
